HYBAS_ID_08,NEXT_DOWN,PFAF_ID,PFAF_ID_07,SUB_AREA,ele_mt_sav,DIST_SINK
2080098580,2080017430,21605080,2160508,98.0,1269,0.0
3080198630,3080194170,31210801,3121080,824.5,48,251.3
3080191230,3080198630,31210802,3121080,586.1,95,308.2
3080191080,3080198630,31210803,3121080,66.7,34,308.5
3080188390,3080191080,31210804,3121080,847.3,371,324.4
3080188400,3080191080,31210805,3121080,43.9,43,324.5
3080187880,3080188400,31210807,3121080,1.8,27,330.7
3080187700,3080188400,31210806,3121080,372.3,306,330.9
3080187890,3080187880,31210809,3121080,1593.7,362,332.7
3080188040,3080187880,31210808,3121080,261.0,73,332.9
3080435980,3080443080,31243831,3124383,999.2,67,2223.0
3080429600,3080435980,31243833,3124383,892.7,79,2299.2
3080429960,3080435980,31243832,3124383,281.2,83,2299.2
3080460330,3080458330,31246201,3124620,122.8,58,2341.6
3080427860,3080429600,31243834,3124383,570.5,93,2367.4
3080427870,3080429600,31243835,3124383,26.4,73,2367.5
3080457780,3080460330,31246202,3124620,941.7,82,2368.8
3080457640,3080460330,31246203,3124620,1452.9,90,2369.1
3080427720,3080427870,31243837,3124383,30.1,69,2378.8
3080427880,3080427870,31243836,3124383,1604.7,94,2379.0
3080427600,3080427720,31243839,3124383,265.0,78,2383.7
3080427730,3080427720,31243838,3124383,307.3,95,2383.9
3080453050,3080456640,31244511,3124451,752.6,70,2426.9
3080443090,3080457640,31246204,3124620,1861.7,124,2459.4
3080443100,3080457640,31246205,3124620,202.1,100,2459.5
3080441610,3080443100,31246206,3124620,1245.3,115,2483.1
3080441530,3080443100,31246207,3124620,301.6,110,2483.3
3080449400,3080453050,31244513,3124451,190.9,74,2485.4
3080449220,3080453050,31244512,3124451,674.7,82,2485.5
3080449120,3080449400,31244515,3124451,1060.5,80,2505.7
3080449030,3080449400,31244514,3124451,679.8,87,2505.8
3080436910,3080441530,31246209,3124620,2188.0,136,2512.4
3080436730,3080441530,31246208,3124620,670.1,134,2512.5
3080449980,3080449120,31244516,3124451,1248.2,91,2571.4
3080450210,3080449120,31244517,3124451,9.0,60,2571.5
3080450980,3080450210,31244519,3124451,748.0,83,2574.8
3080450990,3080450210,31244518,3124451,678.6,99,2574.8
3080528980,3080515430,31293411,3129341,10.1,71,2673.3
3080528990,3080528980,31293412,3129341,184.6,132,2676.1
3080529100,3080528980,31293413,3129341,254.7,97,2676.2
3080534390,3080529100,31293414,3129341,179.7,126,2706.5
3080534520,3080529100,31293415,3129341,101.2,86,2706.7
3080535230,3080534520,31293417,3129341,1068.1,108,2720.3
3080535150,3080534520,31293416,3129341,552.9,130,2720.5
3080523990,3080517780,31248211,3124821,6689.5,144,2766.4
3080537160,3080535230,31293419,3129341,240.1,103,2768.7
3080537030,3080535230,31293418,3129341,486.3,130,2768.8
3080451380,3080451390,31262801,3126280,1084.4,120,2809.7
3080451750,3080451380,31262803,3126280,479.6,124,2862.0
3080451860,3080451380,31262802,3126280,3093.5,258,2862.1
3080545710,3080523990,31248212,3124821,893.2,200,2888.6
3080545840,3080523990,31248213,3124821,421.1,144,2888.8
3080448210,3080451750,31262804,3126280,326.8,181,2894.2
3080448130,3080451750,31262805,3126280,287.5,171,2894.3
3080549140,3080545840,31248214,3124821,1501.8,183,2902.7
3080549150,3080545840,31248215,3124821,2311.0,187,2902.8
3080443670,3080448130,31262806,3126280,294.8,166,2917.8
3080443550,3080448130,31262807,3126280,684.7,228,2917.9
3080441580,3080443550,31262809,3126280,819.9,467,2974.6
3080441910,3080443550,31262808,3126280,306.5,383,2974.6
3080560240,3080549150,31248217,3124821,2870.4,201,2999.8
3080560310,3080549150,31248216,3124821,1144.7,222,3000.1
3080577220,3080566240,31248341,3124834,3252.2,196,3054.4
3080574270,3080560240,31248218,3124821,1828.1,212,3094.5
3080574010,3080560240,31248219,3124821,2533.3,241,3094.6
3080542990,3080530230,31249461,3124946,484.4,220,3107.5
3080539010,3080533480,31249651,3124965,2.0,118,3146.1
3080539210,3080539010,31249652,3124965,988.8,193,3148.3
3080539330,3080539010,31249653,3124965,4.9,122,3148.4
3080574370,3080577100,31294131,3129413,225.8,104,3150.6
3080540110,3080539330,31249654,3124965,282.9,167,3152.4
3080540250,3080539330,31249655,3124965,325.4,159,3152.6
3080552500,3080542990,31249462,3124946,496.7,281,3161.2
3080552590,3080542990,31249463,3124946,8.8,199,3161.4
3080553400,3080552590,31249464,3124946,1126.0,265,3164.6
3080553390,3080552590,31249465,3124946,23.1,216,3164.7
3080575110,3080574370,31294133,3129413,895.8,105,3168.0
3080575210,3080574370,31294132,3129413,487.8,107,3168.1
3080554100,3080553390,31249466,3124946,400.0,235,3173.1
3080553890,3080553390,31249467,3124946,872.0,240,3173.2
3080544310,3080540250,31249657,3124965,109.4,147,3178.1
3080544530,3080540250,31249656,3124965,1351.1,272,3178.2
3080545590,3080544310,31249659,3124965,142.6,162,3188.4
3080545380,3080544310,31249658,3124965,463.4,210,3188.4
3080572310,3080575110,31294134,3129413,574.8,106,3207.0
3080572320,3080575110,31294135,3129413,715.1,104,3207.1
3080572050,3080577220,31248342,3124834,866.6,209,3218.1
3080572030,3080577220,31248343,3124834,2971.7,210,3218.3
3080568330,3080572320,31294137,3129413,170.2,102,3241.6
3080568190,3080572320,31294136,3129413,828.9,106,3241.7
3080565560,3080568330,31294138,3129413,607.1,108,3263.3
3080565430,3080568330,31294139,3129413,10.9,97,3263.5
3080576780,3080572030,31248345,3124834,1817.8,210,3304.1
3080576890,3080572030,31248344,3124834,1751.7,250,3304.3
3080606700,3080605600,31248261,3124826,472.8,290,3365.5
3080583540,3080576780,31248346,3124834,1424.2,266,3393.8
3080583620,3080576780,31248347,3124834,407.7,212,3394.1
3080612620,3080606700,31248262,3124826,274.1,356,3412.6
3080612750,3080606700,31248263,3124826,928.8,358,3412.8
3080606710,3080606550,31248281,3124828,179.4,358,3418.7
3080588250,3080583620,31248349,3124834,1370.9,299,3426.5
3080588260,3080583620,31248348,3124834,3833.8,285,3426.6
3080608040,3080606710,31248283,3124828,658.0,466,3435.3
3080607730,3080606710,31248282,3124828,3597.4,780,3435.5
3080608660,3080608040,31248284,3124828,785.2,863,3468.3
3080608670,3080608040,31248285,3124828,132.5,461,3468.5
3080618910,3080612750,31248264,3124826,2263.8,511,3469.0
3080619010,3080612750,31248265,3124826,301.9,369,3469.1
3080609390,3080608670,31248287,3124828,1881.4,858,3485.7
3080609620,3080608670,31248286,3124828,501.8,728,3485.7
3080605310,3080611950,31248431,3124843,1257.1,189,3504.1
3080624580,3080619010,31248267,3124826,979.9,478,3521.9
3080624620,3080619010,31248266,3124826,975.1,465,3521.9
3080614310,3080609390,31248288,3124828,1103.4,886,3556.6
3080614190,3080609390,31248289,3124828,853.9,998,3556.8
3080601130,3080605310,31248433,3124843,331.4,191,3594.9
3080601040,3080605310,31248432,3124843,446.3,251,3595.0
3080630770,3080624580,31248268,3124826,622.6,632,3597.2
3080630550,3080624580,31248269,3124826,1440.9,627,3597.3
3080602100,3080601130,31248435,3124843,777.2,213,3625.9
3080602110,3080601130,31248434,3124843,1164.1,259,3625.9
3080605160,3080602100,31248436,3124843,638.0,257,3675.8
3080605240,3080602100,31248437,3124843,214.7,206,3675.9
3080607590,3080605240,31248438,3124843,126.4,226,3693.7
3080607600,3080605240,31248439,3124843,5.3,169,3693.8
3080635830,3080636040,31248761,3124876,211.2,179,3715.3
3080639090,3080635830,31248763,3124876,190.1,216,3740.9
