PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
2522006,9,142.6,topology_pfaf,low,0.547,False,False
2524006,9,94.4,topology_pfaf,low,0.61,False,False
2525506,9,187.0,topology_pfaf,low,0.697,False,False
2525604,9,135.1,topology_pfaf,low,0.465,False,False
2526045,9,45.5,topology_pfaf,low,0.667,False,False
2526090,9,32.6,topology_pfaf,low,0.789,False,False
2612010,9,39.7,topology_pfaf,low,0.76,False,False
2612098,9,65.0,topology_pfaf,low,0.396,False,False
2614804,9,36.7,topology_pfaf,low,0.532,False,False
2614660,7,51.0,topology_pfaf,low,0.217,False,False
2615030,9,66.7,topology_pfaf,low,0.277,True,False
2616043,9,94.4,topology_pfaf,low,0.568,False,False
2618605,9,64.2,topology_pfaf,low,0.675,False,False
2330240,9,293.3,topology_pfaf,low,0.649,False,False
2410003,9,17.0,topology_pfaf,low,0.539,True,False
2429000,2,0.9,topology_dist,low,0.736,True,False
2710200,9,520.8,topology_pfaf,mixed,0.667,False,False
2710340,9,436.1,topology_pfaf,mixed,0.628,False,False
2710350,9,319.2,topology_pfaf,mixed,0.276,True,False
2710360,9,711.7,elevation,high,0.665,False,False
2710400,9,775.8,elevation,high,0.641,False,False
2710510,9,372.4,topology_pfaf,mixed,0.227,True,False
2710540,9,569.5,topology_pfaf,mixed,0.726,False,False
2710550,9,605.5,elevation,high,0.251,True,False
2710570,9,686.6,elevation,high,0.237,True,False
2710590,9,623.0,elevation,high,0.272,True,False
2710800,9,612.8,elevation,high,0.63,False,False
2828160,9,75.0,topology_pfaf,low,0.634,False,False
2828430,9,66.9,topology_pfaf,low,0.536,False,False
2828990,9,198.5,topology_pfaf,low,0.548,False,False
2831702,9,82.4,topology_pfaf,low,0.486,False,False
2831629,9,64.4,topology_pfaf,low,0.389,False,False
2831806,9,37.0,topology_pfaf,low,0.412,False,False
2833010,7,55.4,topology_pfaf,low,0.775,False,False
2835004,9,52.4,topology_pfaf,low,0.289,False,False
2836100,9,38.3,topology_pfaf,low,0.244,False,False
2833086,9,34.9,topology_pfaf,low,0.334,False,False
2832418,9,68.0,topology_pfaf,low,0.414,False,False
2837040,5,45.3,topology_dist,low,1.0,False,True
2834044,9,49.3,topology_pfaf,low,0.345,False,False
2837060,9,59.3,topology_pfaf,low,0.251,False,False
2836202,9,57.6,topology_pfaf,low,0.714,False,False
2837029,9,48.5,topology_pfaf,low,0.394,False,False
2833089,9,33.1,topology_pfaf,low,0.576,False,False
2832444,9,433.7,topology_pfaf,mixed,0.536,False,False
2839500,9,29.1,topology_pfaf,low,0.434,False,False
2832448,9,330.5,topology_pfaf,mixed,0.498,False,False
2839702,9,43.3,topology_pfaf,low,0.377,False,False
2836648,9,25.9,topology_pfaf,low,0.454,False,False
2832999,9,20.4,topology_pfaf,low,0.514,False,False
2847007,9,1039.9,elevation,high,0.28,True,False
2921099,9,447.2,topology_pfaf,mixed,0.741,False,False
3121080,9,321.0,topology_pfaf,mixed,0.494,False,False
3124383,9,26.9,topology_pfaf,low,0.449,False,False
3124620,9,57.4,topology_pfaf,low,0.513,False,False
3124451,9,24.0,topology_pfaf,low,0.62,False,False
3129341,9,35.5,topology_pfaf,low,0.796,False,False
3124821,9,81.9,topology_pfaf,low,0.358,False,False
3126280,9,271.4,topology_pfaf,low,0.324,False,False
3124834,9,87.0,topology_pfaf,low,0.317,False,False
3124946,7,51.5,topology_pfaf,low,0.38,False,False
3124965,9,98.9,topology_pfaf,low,0.652,False,False
3129413,9,4.5,topology_pfaf,low,0.516,False,False
3124826,9,254.5,topology_pfaf,low,0.523,False,False
3124828,9,417.6,topology_pfaf,mixed,0.461,False,False
3124843,9,81.3,topology_pfaf,low,0.355,False,False
3124876,9,905.8,elevation,high,0.624,False,False
3124869,9,948.8,elevation,high,0.483,False,False
3124997,9,137.5,topology_pfaf,low,0.42,False,False
3124885,9,885.3,elevation,high,0.744,False,False
3129974,9,1674.5,elevation,high,0.703,False,False
3132010,9,15.2,topology_pfaf,low,0.7,False,False
3222120,9,124.2,topology_pfaf,low,0.715,False,False
3222708,9,96.9,topology_pfaf,low,0.477,False,False
3222821,9,160.8,topology_pfaf,low,0.305,False,False
3225803,9,112.5,topology_pfaf,low,0.663,False,False
3227100,9,164.4,topology_pfaf,low,0.464,False,False
3227245,9,100.2,topology_pfaf,low,0.453,False,False
3226650,7,294.8,topology_pfaf,low,0.818,False,False
3226740,9,325.3,topology_pfaf,mixed,0.478,False,False
3227425,9,58.5,topology_pfaf,low,0.329,False,False
3222987,9,71.0,topology_pfaf,low,0.418,False,False
3227517,9,111.0,topology_pfaf,low,0.716,False,False
3226848,9,454.5,topology_pfaf,mixed,0.451,False,False
3227584,9,781.1,elevation,high,0.664,False,False
3227640,9,707.2,elevation,high,0.714,False,False
3227661,9,414.7,topology_pfaf,mixed,0.646,False,False
3227850,9,151.1,topology_pfaf,low,0.687,False,False
