PFAF_ID_07,n_children,delta_E_m,relief_class,n_outlets,parent_components,has_cycle,axis_T300,f_up_area_T300,valid_T300,invalid_reason_T300,n_up_T300,n_down_T300,up_components_T300,down_components_T300,cut_edges_T300,reverse_edges_T300,axis_T400,f_up_area_T400,valid_T400,invalid_reason_T400,n_up_T400,n_down_T400,up_components_T400,down_components_T400,cut_edges_T400,reverse_edges_T400,axis_T500,f_up_area_T500,valid_T500,invalid_reason_T500,n_up_T500,n_down_T500,up_components_T500,down_components_T500,cut_edges_T500,reverse_edges_T500,axis_T600,f_up_area_T600,valid_T600,invalid_reason_T600,n_up_T600,n_down_T600,up_components_T600,down_components_T600,cut_edges_T600,reverse_edges_T600,axis_T700,f_up_area_T700,valid_T700,invalid_reason_T700,n_up_T700,n_down_T700,up_components_T700,down_components_T700,cut_edges_T700,reverse_edges_T700,axis_T800,f_up_area_T800,valid_T800,invalid_reason_T800,n_up_T800,n_down_T800,up_components_T800,down_components_T800,cut_edges_T800,reverse_edges_T800,axis_ELEVDEF,f_up_area_ELEVDEF,valid_ELEVDEF,invalid_reason_ELEVDEF,n_up_ELEVDEF,n_down_ELEVDEF,up_components_ELEVDEF,down_components_ELEVDEF,cut_edges_ELEVDEF,reverse_edges_ELEVDEF,axis_AREA50,f_up_area_AREA50,valid_AREA50,invalid_reason_AREA50,n_up_AREA50,n_down_AREA50,up_components_AREA50,down_components_AREA50,cut_edges_AREA50,reverse_edges_AREA50,common_valid_T300_T800,n_cells_changed_any_threshold,all_cell_labels_invariant,status_T600,review_priority,review_class
7729904,9,245.5,low,1,1,False,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,topology_pfaf,0.766,True,OK,5,4,1,1,1,0,elevdef,0.685,True,OK,3,6,1,1,1,0,area50,0.403,True,OK,1,8,1,1,1,0,True,0,True,valid_T600,3,stable
7729905,9,367.1,mixed,1,1,False,elevation,0.571,True,OK,5,4,1,1,1,0,topology_pfaf,0.571,True,OK,5,4,1,1,1,0,topology_pfaf,0.571,True,OK,5,4,1,1,1,0,topology_pfaf,0.571,True,OK,5,4,1,1,1,0,topology_pfaf,0.571,True,OK,5,4,1,1,1,0,topology_pfaf,0.571,True,OK,5,4,1,1,1,0,elevdef,0.571,True,OK,5,4,1,1,1,0,area50,0.571,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7729908,9,642.3,high,1,1,False,elevation,0.56,True,OK,7,2,1,1,1,0,elevation,0.56,True,OK,7,2,1,1,1,0,elevation,0.56,True,OK,7,2,1,1,1,0,elevation,0.56,True,OK,7,2,1,1,1,0,topology_pfaf,0.428,True,OK,5,4,1,1,1,0,topology_pfaf,0.428,True,OK,5,4,1,1,1,0,elevdef,0.56,True,OK,7,2,1,1,1,0,area50,0.56,True,OK,7,2,1,1,1,0,True,2,False,valid_T600,2,label_change
7729909,9,712.2,high,1,1,False,elevation,0.786,True,OK,7,2,1,1,1,0,elevation,0.786,True,OK,7,2,1,1,1,0,elevation,0.786,True,OK,7,2,1,1,1,0,elevation,0.786,True,OK,7,2,1,1,1,0,elevation,0.786,True,OK,7,2,1,1,1,0,topology_pfaf,0.559,True,OK,5,4,1,1,1,0,elevdef,0.786,True,OK,7,2,1,1,1,0,area50,0.559,True,OK,5,4,1,1,1,0,True,2,False,valid_T600,2,label_change
7734012,9,845.4,high,1,1,False,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevdef,0.657,True,OK,5,4,1,1,1,0,area50,0.428,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
7734014,9,361.1,mixed,1,1,False,elevation,0.636,True,OK,7,2,1,1,1,0,topology_pfaf,0.479,True,OK,5,4,1,1,1,0,topology_pfaf,0.479,True,OK,5,4,1,1,1,0,topology_pfaf,0.479,True,OK,5,4,1,1,1,0,topology_pfaf,0.479,True,OK,5,4,1,1,1,0,topology_pfaf,0.479,True,OK,5,4,1,1,1,0,elevdef,0.636,True,OK,7,2,1,1,1,0,area50,0.479,True,OK,5,4,1,1,1,0,True,2,False,valid_T600,2,label_change
7734016,9,247.4,low,1,1,False,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,topology_pfaf,0.538,True,OK,5,4,1,1,1,0,elevdef,0.538,True,OK,5,4,1,1,1,0,area50,0.538,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7734019,9,261.0,low,1,1,False,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,topology_pfaf,0.664,True,OK,5,4,1,1,1,0,elevdef,0.391,True,OK,3,6,1,1,1,0,area50,0.391,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
7735010,9,716.7,high,1,1,False,elevation,0.751,True,OK,7,2,1,1,1,0,elevation,0.751,True,OK,7,2,1,1,1,0,elevation,0.751,True,OK,7,2,1,1,1,0,elevation,0.751,True,OK,7,2,1,1,1,0,elevation,0.751,True,OK,7,2,1,1,1,0,topology_pfaf,0.413,True,OK,5,4,1,1,1,0,elevdef,0.751,True,OK,7,2,1,1,1,0,area50,0.413,True,OK,5,4,1,1,1,0,True,2,False,valid_T600,2,label_change
7735030,4,290.6,low,4,4,False,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,topology_dist,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,elevdef,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,area50,0.664,False,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,1,3,1,3,0,0,False,0,True,invalid_multi_outlet,0,T600_invalid
7735069,9,349.9,mixed,1,1,False,elevation,0.648,True,OK,5,4,1,1,1,0,topology_pfaf,0.648,True,OK,5,4,1,1,1,0,topology_pfaf,0.648,True,OK,5,4,1,1,1,0,topology_pfaf,0.648,True,OK,5,4,1,1,1,0,topology_pfaf,0.648,True,OK,5,4,1,1,1,0,topology_pfaf,0.648,True,OK,5,4,1,1,1,0,elevdef,0.648,True,OK,5,4,1,1,1,0,area50,0.648,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
7735080,3,106.1,low,3,3,False,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,topology_dist,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,elevdef,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,area50,0.746,False,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,1,2,1,2,0,0,False,0,True,invalid_multi_outlet,0,T600_invalid
7736030,10,337.5,mixed,2,2,False,elevation,0.614,False,outlets=2; parent_components=2; down_components=2,5,5,1,2,1,0,topology_pfaf,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,topology_pfaf,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,topology_pfaf,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,topology_pfaf,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,topology_pfaf,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,elevdef,0.614,False,outlets=2; parent_components=2; down_components=2,5,5,1,2,1,0,area50,0.42,False,outlets=2; parent_components=2; down_components=2,3,7,1,2,1,0,False,2,False,invalid_multi_outlet,0,T600_invalid
7736052,10,293.3,low,1,1,False,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,topology_pfaf,0.576,True,OK,5,5,1,1,1,0,elevdef,0.683,True,OK,7,3,1,1,1,0,area50,0.576,True,OK,5,5,1,1,1,0,True,0,True,valid_T600,3,stable
